U,I1,I2,I3
-1.0 ,0.4,1.4,0.5
0.0 ,1.7,5.5,1.9
1.0 ,3.5,11.5,4
2.0 ,5.7,18.5,6.4
3.0 ,7.8,26.1,8.7
4.0 ,9.3,30.9,10.3
5.0 ,10.4,33.8,11.6
6.0 ,11.4,35.4,12.7
7.0 ,12.1,37.9,13.5
8.0 ,12.9,40.5,14.8
9.0 ,13.8,43.2,16.1
10.0 ,14.5,45.9,17.3
11.0 ,15.5,48.9,18.6
12.0 ,16.4,51.9,19.9
13.0 ,17.4,54.9,21
14.0 ,18.3,57.7,22.2
15.0 ,19,60.3,23.3
16.0 ,19.7,62.6,24.3
17.0 ,20.5,65,25.2
18.0 ,21.1,67.1,26.1
19.0 ,21.8,69.1,26.7
20.0 ,22.5,71.2,27.4
21.0 ,23,73.1,28.1
22.0 ,23.6,74.4,28.8
23.0 ,24.3,76,29.5
24.0 ,24.8,77.7,30.1
25.0 ,25.4,79.3,30.6
26.0 ,25.8,80.6,31.1
27.0 ,26.3,81.6,32.2
28.0 ,26.6,82.8,32.7
29.0 ,27.1,84.2,33.2
30.0 ,27.4,85.4,33.6
31.0 ,27.8,86.7,34
32.0 ,27.8,88.2,34.7
33.0 ,28.1,89.5,35
34.0 ,28.5,91.2,35.1
35.0 ,28.8,92.4,35.3
36.0 ,29.1,94.2,35.5
37.0 ,29.5,95.6,35.7
38.0 ,29.9,98.8,36
39.0 ,30.1,97.8,36.3
40.0 ,30.4,98.7,36.6
41.0 ,30.7,99.7,36.9
42.0 ,30.9,100.7,37.3
43.0 ,31.1,101.5,37.5
44.0 ,31.4,102.5,37.7
45.0 ,31.6,103.1,37.9
46.0 ,31.8,103.8,38.1
47.0 ,32.2,104.3,38.3
48.0 ,32.4,105.1,38.4
49.0 ,32.7,105.8,38.5
50.0 ,32.9,106.4,38.6
