Date, Close/Last, Volume, Open, High, Low
10/13/2020, $121.1, 262330500, $125.27, $125.39, $119.65
10/12/2020, $124.4, 240226800, $120.06, $125.18, $119.2845
10/09/2020, $116.97, 100506900, $115.28, $117, $114.92
10/08/2020, $114.97, 83477150, $116.25, $116.4, $114.5901
10/07/2020, $115.08, 96848990, $114.62, $115.55, $114.13
10/06/2020, $113.16, 161498200, $115.7, $116.12, $112.25
10/05/2020, $116.5, 106243800, $113.91, $116.65, $113.55
10/02/2020, $113.02, 144712000, $112.89, $115.37, $112.22
10/01/2020, $116.79, 116120400, $117.64, $117.72, $115.83
09/30/2020, $115.81, 142675200, $113.79, $117.26, $113.62
09/29/2020, $114.09, 100060500, $114.55, $115.31, $113.57
09/28/2020, $114.96, 137672400, $115.01, $115.32, $112.78
09/25/2020, $112.28, 149981400, $108.43, $112.44, $107.67
09/24/2020, $108.22, 167743300, $105.17, $110.25, $105
09/23/2020, $107.12, 150718700, $111.62, $112.11, $106.77
09/22/2020, $111.81, 183055400, $112.68, $112.86, $109.16
09/21/2020, $110.08, 195713800, $104.54, $110.19, $103.1
09/18/2020, $106.84, 287104900, $110.4, $110.88, $106.09
09/17/2020, $110.34, 178011000, $109.72, $112.2, $108.71
09/16/2020, $112.13, 155026700, $115.23, $116, $112.04
09/15/2020, $115.54, 184642000, $118.33, $118.829, $113.61
09/14/2020, $115.355, 140150100, $114.72, $115.93, $112.8
09/11/2020, $112, 180860300, $114.57, $115.23, $110
09/10/2020, $113.49, 182274400, $120.36, $120.5, $112.5
09/09/2020, $117.32, 176940500, $117.26, $119.14, $115.26
09/08/2020, $112.82, 231366600, $113.95, $118.99, $112.68
09/04/2020, $120.96, 332607200, $120.07, $123.7, $110.89
09/03/2020, $120.88, 257599600, $126.91, $128.84, $120.5
09/02/2020, $131.4, 200119000, $137.59, $137.98, $127
09/01/2020, $134.18, 152470100, $132.76, $134.8, $130.53
08/31/2020, $129.04, 225702700, $127.58, $131, $126
08/28/2020, $124.8075, 187629920, $126.0125, $126.4425, $124.5775
08/27/2020, $125.01, 155552400, $127.1425, $127.485, $123.8325
08/26/2020, $126.5225, 163022280, $126.1793, $126.9925, $125.0825
08/25/2020, $124.825, 211495800, $124.6975, $125.1793, $123.0525
08/24/2020, $125.8575, 345937760, $128.6975, $128.785, $123.9363
08/21/2020, $124.37, 338054640, $119.2625, $124.868, $119.25
08/20/2020, $118.275, 126907200, $115.75, $118.392, $115.7334
08/19/2020, $115.7075, 145538000, $115.9833, $117.1625, $115.61
08/18/2020, $115.5625, 105633560, $114.3525, $116, $114.0075
08/17/2020, $114.6075, 119561440, $116.0625, $116.0875, $113.9625
08/14/2020, $114.9075, 165565200, $114.8288, $115, $113.045
08/13/2020, $115.01, 210082080, $114.43, $116.0425, $113.9275
08/12/2020, $113.01, 165944840, $110.4975, $113.275, $110.2975
08/11/2020, $109.375, 187902360, $111.9688, $112.4825, $109.1067
08/10/2020, $112.7275, 212403440, $112.6, $113.775, $110
08/07/2020, $111.1125, 198045600, $113.205, $113.675, $110.2925
08/06/2020, $113.9025, 202428920, $110.405, $114.4125, $109.7975
08/05/2020, $110.0625, 121991960, $109.3775, $110.3925, $108.8975
08/04/2020, $109.665, 172792360, $109.1325, $110.79, $108.3875
08/03/2020, $108.9375, 308151400, $108.2, $111.6364, $107.8925
07/31/2020, $106.26, 374295480, $102.8838, $106.415, $100.825
07/30/2020, $96.19, 158130040, $94.1875, $96.2975, $93.7675
