OrderID,CustomerID,DealDateTime,Sales
4529,34858,2014-05-14,807
4532,14597,2014-05-14,160
4533,24598,2014-05-14,418
4534,14600,2014-05-14,401
4535,24798,2014-05-14,234
4536,44856,2014-05-14,102
4558,34695,2014-05-14,130
4559,24764,2014-05-14,377
4566,34765,2014-05-15,466
4567,34581,2014-05-15,821
4568,44637,2014-05-15,84
4569,24784,2014-05-15,710
4570,24593,2014-05-15,236
4571,34577,2014-05-15,494
4572,24669,2014-05-15,467
4573,24586,2014-05-15,750
4574,34761,2014-05-15,455
4575,24655,2014-05-15,798
4576,44801,2014-05-15,797
4577,24677,2014-05-15,394
4578,24732,2014-05-15,266
4579,44680,2014-05-15,243
4580,44805,2014-05-15,763
4581,24589,2014-05-15,969
4582,44802,2014-05-15,955
4583,24730,2014-05-15,299
4584,14819,2014-05-15,311
4585,34661,2014-05-15,56
4586,44768,2014-05-15,864
4587,34809,2014-05-15,814
4588,34655,2014-05-15,655
4589,34781,2014-05-15,86
4590,34612,2014-05-15,231
4591,34600,2014-05-15,929
4592,34794,2014-05-15,743
4593,34586,2014-05-15,974
4594,44810,2014-05-15,323
4595,14804,2014-05-15,197
4596,24719,2014-05-15,907
4597,14708,2014-05-15,537
4598,44748,2014-05-15,921
4599,44790,2014-05-15,674
4600,14720,2014-05-15,173
4601,24733,2014-05-15,954
4602,14818,2014-05-15,698
4603,34575,2014-05-15,902
4604,24700,2014-05-15,641
4605,34746,2014-05-15,147
4606,24807,2014-05-15,383
4607,44861,2014-05-15,839
4652,44798,2014-05-15,846
4689,44847,2014-05-15,587
4691,14582,2014-05-15,59
4692,34787,2014-05-15,856
4693,24616,2014-05-15,780
4694,14645,2014-05-15,624
4695,44839,2014-05-15,229
4696,44615,2014-05-15,447
4697,44757,2014-05-15,852
4698,44809,2014-05-15,102
4699,14717,2014-05-15,255
4700,34783,2014-05-15,505
4701,24675,2014-05-15,147
4702,44710,2014-05-15,189
4703,34569,2014-05-15,487
4704,24840,2014-05-15,286
4705,34716,2014-05-15,805
4706,24570,2014-05-15,705
4707,24802,2014-05-15,446
4708,14865,2014-05-15,45
4709,44601,2014-05-15,510
4710,44735,2014-05-15,846
4711,34593,2014-05-15,318
4712,44667,2014-05-15,668
4713,24709,2014-05-15,759
4714,24748,2014-05-15,30
4715,34725,2014-05-15,780
4716,24832,2014-05-15,503
4717,34604,2014-05-15,722
4718,44861,2014-05-15,124
4719,44679,2014-05-15,742
4720,34600,2014-05-15,904
4721,44828,2014-05-15,765
4722,34670,2014-05-15,350
4723,24702,2014-05-15,918
4724,34612,2014-05-15,862
4725,44766,2014-05-15,426
4726,44652,2014-05-15,411
4727,14757,2014-05-15,105
4728,34851,2014-05-15,96
4729,24569,2014-05-15,38
4730,14729,2014-05-15,644
4731,34726,2014-05-15,402
4732,24792,2014-05-15,376
4733,34798,2014-05-15,609
4734,34674,2014-05-15,538
4735,14782,2014-05-15,415
4736,24700,2014-05-15,152
4737,44721,2014-05-15,708
4738,14589,2014-05-15,396
4742,44782,2014-05-15,845
4743,44851,2014-05-15,297
4744,24742,2014-05-15,613
4745,14704,2014-05-15,49
4746,14656,2014-05-15,178
4747,34577,2014-05-15,496
4748,14589,2014-05-15,826
4749,34850,2014-05-15,370
4751,34749,2014-05-15,839
4753,24851,2014-05-15,73
4754,44824,2014-05-15,216
4755,44707,2014-05-15,372
4756,34752,2014-05-15,161
4757,44832,2014-05-15,7
4758,24671,2014-05-15,234
4759,44723,2014-05-15,167
4760,24734,2014-05-15,186
4761,44691,2014-05-15,192
4762,24569,2014-05-15,703
4763,24789,2014-05-15,414
4764,34762,2014-05-15,918
4765,34743,2014-05-15,677
4766,44569,2014-05-15,113
4767,14591,2014-05-15,382
4768,34850,2014-05-15,799
4769,14654,2014-05-15,755
4770,14612,2014-05-15,827
4771,14742,2014-05-15,730
4772,34772,2014-05-15,5
4773,44855,2014-05-15,855
4774,24651,2014-05-15,282
4775,44569,2014-05-15,417
4776,34585,2014-05-15,14
4777,14794,2014-05-15,406
4778,14846,2014-05-15,987
4779,24568,2014-05-15,491
4780,24583,2014-05-15,483
4781,14593,2014-05-15,323
4782,14581,2014-05-15,724
4783,24776,2014-05-15,353
4784,44691,2014-05-15,154
4785,44732,2014-05-15,853
4786,24781,2014-05-15,713
4787,14846,2014-05-15,326
4788,34627,2014-05-15,789
4789,14640,2014-05-15,453
4790,24789,2014-05-15,384
4791,24599,2014-05-15,471
4792,14591,2014-05-15,498
4793,24674,2014-05-15,46
4794,34843,2014-05-15,94
4795,44653,2014-05-15,898
4796,34672,2014-05-15,694
4797,34852,2014-05-15,156
4798,44783,2014-05-15,999
4799,14671,2014-05-15,46
4800,14579,2014-05-15,995
4801,44594,2014-05-15,845
4802,14826,2014-05-15,796
4803,14729,2014-05-15,996
4804,24705,2014-05-15,929
4805,44810,2014-05-15,31
4806,14677,2014-05-15,211
4807,34669,2014-05-15,895
4808,14645,2014-05-15,387
4809,14584,2014-05-15,843
4810,24827,2014-05-15,43
4811,44836,2014-05-15,380
4812,34861,2014-05-15,33
4813,24834,2014-05-15,747
4814,34777,2014-05-15,951
4815,24725,2014-05-15,495
4816,44826,2014-05-15,586
4818,34696,2014-05-15,160
4819,24748,2014-05-15,805
4820,14578,2014-05-15,416
4821,24789,2014-05-15,169
4822,34666,2014-05-15,28
4823,34658,2014-05-15,206
4824,34572,2014-05-15,539
4825,34729,2014-05-15,214
4826,34647,2014-05-15,165
4827,44618,2014-05-15,174
4828,34622,2014-05-15,363
4829,24758,2014-05-15,316
4830,14636,2014-05-15,777
4831,34631,2014-05-15,546
4832,14715,2014-05-15,413
4833,44568,2014-05-15,137
4834,14654,2014-05-15,988
4835,24573,2014-05-15,431
4836,44712,2014-05-15,140
4837,24727,2014-05-15,530
4838,24607,2014-05-15,574
4839,24606,2014-05-15,192
4840,14657,2014-05-15,648
4841,44840,2014-05-15,402
4842,34712,2014-05-15,296
4843,34857,2014-05-15,346
4844,44664,2014-05-15,56
4845,44625,2014-05-15,58
4846,24773,2014-05-15,940
4847,44687,2014-05-15,594
4848,34785,2014-05-15,570
4849,44854,2014-05-15,615
4850,34605,2014-05-15,671
4851,34636,2014-05-15,142
4852,34602,2014-05-15,521
4853,34814,2014-05-15,117
4854,44750,2014-05-15,510
4855,24630,2014-05-15,767
4856,24784,2014-05-15,71
4857,44674,2014-05-15,39
4858,24776,2014-05-15,842
4859,14586,2014-05-15,390
4860,24819,2014-05-15,349
4861,44726,2014-05-15,440
4862,24647,2014-05-15,399
